schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,AUD,AUDUSD,1,5,0.008161498748,NONE,NONE,2025.05.26 09:00:00,0.6522200000,2025.05.05 09:00:00,0.6469400000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,NZD,NZDUSD,1,3,0.008910028807,NONE,NONE,2025.05.26 09:00:00,0.6024000000,2025.05.05 09:00:00,0.5970800000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,CAD,USDCAD,-1,4,0.008742522842,NONE,NONE,2025.05.26 09:00:00,1.3691700000,2025.05.05 09:00:00,1.3811400000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,CHF,USDCHF,-1,7,0.007193016678,SHORT,BUY,2025.05.26 09:00:00,0.8202400000,2025.05.05 09:00:00,0.8261400000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.05.26 10:05:00,JPY,USDJPY,-1,2,0.010963068819,LONG,SELL,2025.05.26 09:00:00,142.7520000000,2025.05.05 09:00:00,144.3170000000,2025.06.02 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,EUR,EURUSD,1,5,0.016332061477,NONE,NONE,2025.06.02 09:00:00,1.1400400000,2025.05.12 09:00:00,1.1217200000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,GBP,GBPUSD,1,2,0.018525349091,LONG,BUY,2025.06.02 09:00:00,1.3530600000,2025.05.12 09:00:00,1.3284500000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,AUD,AUDUSD,1,7,0.005926824715,SHORT,SELL,2025.06.02 09:00:00,0.6466500000,2025.05.12 09:00:00,0.6428400000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,NZD,NZDUSD,1,6,0.014104253235,SHORT,SELL,2025.06.02 09:00:00,0.6003700000,2025.05.12 09:00:00,0.5920200000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,CAD,USDCAD,-1,4,0.016707907242,NONE,NONE,2025.06.02 09:00:00,1.3700100000,2025.05.12 09:00:00,1.3929000000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,CHF,USDCHF,-1,3,0.018171839746,NONE,NONE,2025.06.02 09:00:00,0.8199500000,2025.05.12 09:00:00,0.8348500000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.02 10:05:00,JPY,USDJPY,-1,1,0.020213657310,LONG,SELL,2025.06.02 09:00:00,143.2200000000,2025.05.12 09:00:00,146.1150000000,2025.06.09 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,EUR,EURUSD,1,3,0.019449004354,NONE,NONE,2025.06.09 09:00:00,1.1426800000,2025.05.19 09:00:00,1.1208800000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,GBP,GBPUSD,1,4,0.018580662598,NONE,NONE,2025.06.09 09:00:00,1.3567800000,2025.05.19 09:00:00,1.3320300000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,AUD,AUDUSD,1,6,0.016439980035,SHORT,SELL,2025.06.09 09:00:00,0.6516600000,2025.05.19 09:00:00,0.6411200000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,NZD,NZDUSD,1,1,0.025514878024,LONG,BUY,2025.06.09 09:00:00,0.6045000000,2025.05.19 09:00:00,0.5894600000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,CAD,USDCAD,-1,2,0.020582839350,LONG,SELL,2025.06.09 09:00:00,1.3681300000,2025.05.19 09:00:00,1.3962900000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,CHF,USDCHF,-1,5,0.016798117831,NONE,NONE,2025.06.09 09:00:00,0.8203300000,2025.05.19 09:00:00,0.8341100000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.09 10:05:00,JPY,USDJPY,-1,7,0.005429807772,SHORT,BUY,2025.06.09 09:00:00,144.2040000000,2025.05.19 09:00:00,144.9870000000,2025.06.16 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,EUR,EURUSD,1,1,0.014436857376,LONG,BUY,2025.06.16 09:00:00,1.1573000000,2025.05.26 09:00:00,1.1408300000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,GBP,GBPUSD,1,4,0.000957833234,NONE,NONE,2025.06.16 09:00:00,1.3585300000,2025.05.26 09:00:00,1.3572300000,2025.06.23 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.06.16 10:05:00,AUD,AUDUSD,1,6,-0.002974456472,SHORT,SELL,2025.06.16 09:00:00,0.6502800000,2025.05.26 09:00:00,0.6522200000,2025.06.23 10:05:00
