sequence,event,timestamp,segment,direction,setup_timestamp,frozen_boundary,retest_candle_number,confirmation_timestamp,entry_timestamp,stop_level,exit_type,cancellation_reason,bid,ask,spread_points,confirmation_atr,effective_spread_limit_points
170,SETUP,2025.07.28 00:00:00.000,2025_S3,BUY,2025.07.28 00:00:00.000,1.1760300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
171,CONFIRMATION,2025.07.28 04:00:00.258,2025_S3,BUY,2025.07.28 00:00:00.000,1.1760300000,3,2025.07.28 03:00:00.000,,0.0000000000,,,1.1763300000,1.1764600000,13.00000000,0.001371716015,27.434320300072
172,ENTRY,2025.07.28 04:00:00.258,2025_S3,BUY,2025.07.28 00:00:00.000,1.1760300000,3,2025.07.28 03:00:00.000,2025.07.28 04:00:00.258,1.1737165680,,,1.1763300000,1.1764600000,13.00000000,0.001371716015,27.434320300072
173,EXIT,2025.07.28 09:04:58.464,2025_S3,BUY,,0.0000000000,0,,2025.07.28 04:00:00.000,1.1737165680,INITIAL_STOP,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
174,SETUP,2025.07.28 10:00:00.000,2025_S3,SELL,2025.07.28 10:00:00.000,1.1702400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
175,CANCEL,2025.07.28 17:00:00.176,2025_S3,SELL,2025.07.28 10:00:00.000,1.1702400000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
176,SETUP,2025.07.28 16:00:00.000,2025_S3,SELL,2025.07.28 16:00:00.000,1.1643000000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
177,CONFIRMATION,2025.07.28 18:00:00.373,2025_S3,SELL,2025.07.28 16:00:00.000,1.1643000000,1,2025.07.28 17:00:00.000,,0.0000000000,,,1.1636500000,1.1637700000,12.00000000,0.001885548873,30.000000000000
178,ENTRY,2025.07.28 18:00:00.373,2025_S3,SELL,2025.07.28 16:00:00.000,1.1643000000,1,2025.07.28 17:00:00.000,2025.07.28 18:00:00.373,1.1674210977,,,1.1636500000,1.1637700000,12.00000000,0.001885548873,30.000000000000
179,EXIT,2025.07.30 04:00:00.231,2025_S3,SELL,,0.0000000000,0,,2025.07.28 18:00:00.000,1.1674210977,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
180,SETUP,2025.07.30 15:00:00.000,2025_S3,SELL,2025.07.30 15:00:00.000,1.1521100000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
181,CANCEL,2025.07.30 22:00:00.011,2025_S3,SELL,2025.07.30 15:00:00.000,1.1521100000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
182,SETUP,2025.07.30 21:00:00.000,2025_S3,SELL,2025.07.30 21:00:00.000,1.1457800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
183,CANCEL,2025.07.31 04:00:00.151,2025_S3,SELL,2025.07.30 21:00:00.000,1.1457800000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
184,SETUP,2025.08.01 12:00:00.000,2025_S3,SELL,2025.08.01 12:00:00.000,1.1404400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
185,CONFIRMATION,2025.08.01 15:00:00.690,2025_S3,SELL,2025.08.01 12:00:00.000,1.1404400000,2,2025.08.01 14:00:00.000,,0.0000000000,,,1.1404200000,1.1405400000,12.00000000,0.001646335852,30.000000000000
186,ENTRY,2025.08.01 15:00:00.690,2025_S3,SELL,2025.08.01 12:00:00.000,1.1404400000,2,2025.08.01 14:00:00.000,2025.08.01 15:00:00.690,1.1437126717,,,1.1404200000,1.1405400000,12.00000000,0.001646335852,30.000000000000
187,EXIT,2025.08.01 15:30:18.307,2025_S3,SELL,,0.0000000000,0,,2025.08.01 15:00:00.000,1.1437126717,INITIAL_STOP,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
188,SETUP,2025.08.05 07:00:00.000,2025_S3,SELL,2025.08.05 07:00:00.000,1.1553600000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
189,CONFIRMATION,2025.08.05 09:00:00.082,2025_S3,SELL,2025.08.05 07:00:00.000,1.1553600000,1,2025.08.05 08:00:00.000,,0.0000000000,,,1.1550400000,1.1551600000,12.00000000,0.001546561180,30.000000000000
190,ENTRY,2025.08.05 09:00:00.082,2025_S3,SELL,2025.08.05 07:00:00.000,1.1553600000,1,2025.08.05 08:00:00.000,2025.08.05 09:00:00.082,1.1581331224,,,1.1550400000,1.1551600000,12.00000000,0.001546561180,30.000000000000
191,EXIT,2025.08.05 17:00:00.257,2025_S3,SELL,,0.0000000000,0,,2025.08.05 09:00:00.000,1.1581331224,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
192,SETUP,2025.08.06 12:00:00.000,2025_S3,BUY,2025.08.06 12:00:00.000,1.1587400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
193,RESET,2025.08.06 16:00:00.000,2025_S3,BUY,2025.08.06 12:00:00.000,1.1587400000,2,,,0.0000000000,,PERIOD_BOUNDARY,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
1,SETUP,2025.09.05 04:00:00.000,2025_S4,BUY,2025.09.05 04:00:00.000,1.1660600000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
2,CANCEL,2025.09.05 11:00:00.022,2025_S4,BUY,2025.09.05 04:00:00.000,1.1660600000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
3,SETUP,2025.09.05 10:00:00.000,2025_S4,BUY,2025.09.05 10:00:00.000,1.1677100000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
4,CONFIRMATION,2025.09.05 12:00:00.250,2025_S4,BUY,2025.09.05 10:00:00.000,1.1677100000,1,2025.09.05 11:00:00.000,,0.0000000000,,,1.1682800000,1.1684000000,12.00000000,0.001074880382,21.497607642748
5,ENTRY,2025.09.05 12:00:00.250,2025_S4,BUY,2025.09.05 10:00:00.000,1.1677100000,1,2025.09.05 11:00:00.000,2025.09.05 12:00:00.250,1.1662502392,,,1.1682800000,1.1684000000,12.00000000,0.001074880382,21.497607642748
6,EXIT,2025.09.09 11:00:00.285,2025_S4,BUY,,0.0000000000,0,,2025.09.05 12:00:00.000,1.1662502392,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
7,SETUP,2025.09.10 17:00:00.000,2025_S4,BUY,2025.09.10 17:00:00.000,1.1726400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
8,CANCEL,2025.09.11 00:00:00.300,2025_S4,BUY,2025.09.10 17:00:00.000,1.1726400000,6,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
9,SETUP,2025.09.11 16:00:00.000,2025_S4,BUY,2025.09.11 16:00:00.000,1.1720300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
10,CANCEL,2025.09.11 23:00:00.192,2025_S4,BUY,2025.09.11 16:00:00.000,1.1720300000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
11,SETUP,2025.09.15 12:00:00.000,2025_S4,BUY,2025.09.15 12:00:00.000,1.1743500000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
12,CANCEL,2025.09.15 19:00:00.238,2025_S4,BUY,2025.09.15 12:00:00.000,1.1743500000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
13,SETUP,2025.09.16 05:00:00.000,2025_S4,BUY,2025.09.16 05:00:00.000,1.1773900000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
14,CONFIRMATION,2025.09.16 07:00:00.294,2025_S4,BUY,2025.09.16 05:00:00.000,1.1773900000,1,2025.09.16 06:00:00.000,,0.0000000000,,,1.1779600000,1.1780800000,12.00000000,0.001030946522,20.618930445705
15,ENTRY,2025.09.16 07:00:00.294,2025_S4,BUY,2025.09.16 05:00:00.000,1.1773900000,1,2025.09.16 06:00:00.000,2025.09.16 07:00:00.294,1.1760181070,,,1.1779600000,1.1780800000,12.00000000,0.001030946522,20.618930445705
16,EXIT,2025.09.17 11:00:00.277,2025_S4,BUY,,0.0000000000,0,,2025.09.16 07:00:00.000,1.1760181070,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
17,SETUP,2025.09.18 16:00:00.000,2025_S4,SELL,2025.09.18 16:00:00.000,1.1779800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
18,CANCEL,2025.09.18 18:00:00.010,2025_S4,SELL,2025.09.18 16:00:00.000,1.1779800000,1,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
19,SETUP,2025.09.19 14:00:00.000,2025_S4,SELL,2025.09.19 14:00:00.000,1.1750700000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
20,CONFIRMATION,2025.09.19 21:00:00.462,2025_S4,SELL,2025.09.19 14:00:00.000,1.1750700000,6,2025.09.19 20:00:00.000,,0.0000000000,,,1.1750200000,1.1751500000,13.00000000,0.001525287360,30.000000000000
21,ENTRY,2025.09.19 21:00:00.462,2025_S4,SELL,2025.09.19 14:00:00.000,1.1750700000,6,2025.09.19 20:00:00.000,2025.09.19 21:00:00.462,1.1780705747,,,1.1750200000,1.1751500000,13.00000000,0.001525287360,30.000000000000
22,EXIT,2025.09.22 12:00:00.000,2025_S4,SELL,,0.0000000000,0,,2025.09.19 21:00:00.000,1.1780705747,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
23,SETUP,2025.09.22 12:00:00.000,2025_S4,BUY,2025.09.22 12:00:00.000,1.1768600000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
24,CONFIRMATION,2025.09.22 15:00:00.215,2025_S4,BUY,2025.09.22 12:00:00.000,1.1768600000,2,2025.09.22 14:00:00.000,,0.0000000000,,,1.1777800000,1.1779100000,13.00000000,0.001217681703,24.353634067928
25,ENTRY,2025.09.22 15:00:00.215,2025_S4,BUY,2025.09.22 12:00:00.000,1.1768600000,2,2025.09.22 14:00:00.000,2025.09.22 15:00:00.215,1.1754746366,,,1.1777800000,1.1779100000,13.00000000,0.001217681703,24.353634067928
26,EXIT,2025.09.24 10:00:00.062,2025_S4,BUY,,0.0000000000,0,,2025.09.22 15:00:00.000,1.1754746366,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
27,SETUP,2025.09.24 11:00:00.000,2025_S4,SELL,2025.09.24 11:00:00.000,1.1783800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
28,CANCEL,2025.09.24 18:00:00.311,2025_S4,SELL,2025.09.24 11:00:00.000,1.1783800000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
29,SETUP,2025.09.25 15:00:00.000,2025_S4,SELL,2025.09.25 15:00:00.000,1.1729600000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
30,CANCEL,2025.09.25 22:00:00.223,2025_S4,SELL,2025.09.25 15:00:00.000,1.1729600000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
31,SETUP,2025.09.29 15:00:00.000,2025_S4,BUY,2025.09.29 15:00:00.000,1.1732600000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
32,CANCEL,2025.09.29 18:00:00.050,2025_S4,BUY,2025.09.29 15:00:00.000,1.1732600000,2,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
33,SETUP,2025.09.30 11:00:00.000,2025_S4,BUY,2025.09.30 11:00:00.000,1.1753900000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
34,CANCEL,2025.09.30 16:00:00.342,2025_S4,BUY,2025.09.30 11:00:00.000,1.1753900000,4,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
35,SETUP,2025.10.01 09:00:00.000,2025_S4,BUY,2025.10.01 09:00:00.000,1.1766400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
36,CANCEL,2025.10.01 13:00:00.268,2025_S4,BUY,2025.10.01 09:00:00.000,1.1766400000,3,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
37,SETUP,2025.10.02 17:00:00.000,2025_S4,SELL,2025.10.02 17:00:00.000,1.1712900000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
38,CANCEL,2025.10.03 00:00:00.393,2025_S4,SELL,2025.10.02 17:00:00.000,1.1712900000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
39,SETUP,2025.10.06 02:00:00.000,2025_S4,SELL,2025.10.06 02:00:00.000,1.1714300000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
40,CANCEL,2025.10.06 09:00:00.241,2025_S4,SELL,2025.10.06 02:00:00.000,1.1714300000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
41,SETUP,2025.10.06 09:00:00.000,2025_S4,SELL,2025.10.06 09:00:00.000,1.1705500000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
42,CONFIRMATION,2025.10.06 11:00:00.052,2025_S4,SELL,2025.10.06 09:00:00.000,1.1705500000,1,2025.10.06 10:00:00.000,,0.0000000000,,,1.1662100000,1.1663300000,12.00000000,0.001496115753,29.922315065980
