schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.18 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.18 17:00:00,0,BUY,1.1636700000,0.0000000000,14,0.0000,0.10000000,23.50000000,1.1613200000,32,32,10009,NONE,NO,2026.05.18 18:05:00,0.001172151268
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.18 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.18 21:00:00,32,BUY,1.1649200000,0.0000000000,0,0.0000,0.10000000,0,0,33,33,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.18 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,32,BUY,1.1649200000,1.1649200000,0,0.0000,0.10000000,0,0,33,33,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.19 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.19 17:00:00,0,BUY,1.1596200000,0.0000000000,12,0.0000,0.10000000,23.10000000,1.1573100000,34,34,10009,NONE,NO,2026.05.19 18:05:00,0.001153977035
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.19 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.19 21:00:00,34,BUY,1.1603200000,0.0000000000,0,0.0000,0.10000000,0,0,35,35,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.19 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,34,BUY,1.1603200000,1.1603200000,0,0.0000,0.10000000,0,0,35,35,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.20 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.20 17:00:00,0,BUY,1.1619300000,0.0000000000,12,0.0000,0.10000000,24.20000000,1.1595100000,36,36,10009,NONE,NO,2026.05.20 18:05:00,0.001207265790
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.20 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.20 21:00:00,36,BUY,1.1631400000,0.0000000000,0,0.0000,0.10000000,0,0,37,37,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.20 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,36,BUY,1.1631400000,1.1631400000,0,0.0000,0.10000000,0,0,37,37,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.21 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.21 17:00:00,0,BUY,1.1593300000,0.0000000000,12,0.0000,0.08000000,24.00000000,1.1563300000,38,38,10009,NONE,NO,2026.05.21 18:05:00,0.001495919248
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.21 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.21 21:00:00,38,BUY,1.1615000000,0.0000000000,0,0.0000,0.08000000,0,0,39,39,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.21 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,38,BUY,1.1615000000,1.1615000000,0,0.0000,0.08000000,0,0,39,39,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
