population,dimension,group,trades,wins,losses,breakeven,win_rate_percent,adjusted_net_profit,gross_profit,gross_loss,profit_factor,average_win,average_loss,average_win_R,average_loss_R,payoff_ratio_money,payoff_ratio_R,expectancy_R,average_holding_seconds,median_holding_seconds,rapid_stop_count
NORMAL_NATIVE_REFERENCE,spread_band,11_TO_15_POINTS,91,28,63,0,30.76923076923077,-499.91,792.02,-1291.93,0.6130517907316959,28.28642857142857,-20.5068253968254,1.2377369558627513,-0.8774471664405097,1.3793665291463157,1.410611377188451,-0.22662128265489082,79811.45054945054,46800.0,42
NORMAL_NATIVE_REFERENCE,spread_band,GT_15_POINTS,3,1,2,0,33.33333333333333,-13.939999999999998,42.78,-56.72,0.754231311706629,42.78,-28.36,1.7180722891566267,-1.214454085518442,1.508462623413258,1.414686903064922,-0.23694529396008576,140873.0,122400.0,1
NORMAL_NATIVE_REFERENCE,segment,D1,6,1,5,0,16.666666666666664,-86.19,16.56,-102.75,0.16116788321167883,16.56,-20.55,0.706183368869936,-0.9048703177468044,0.805839416058394,0.7804249460059494,-0.6363613699773475,62390.833333333336,17607.0,4
NORMAL_NATIVE_REFERENCE,segment,D2,4,2,2,0,50.0,-9.370000000000001,38.63,-48.0,0.8047916666666667,19.315,-24.0,0.8139685545935545,-1.023076923076923,0.8047916666666667,0.7956083616327977,-0.10455418424168428,115214.0,40948.5,2
NORMAL_NATIVE_REFERENCE,segment,D3,39,11,28,0,28.205128205128204,-92.88000000000001,479.52,-572.4,0.8377358490566038,43.592727272727274,-20.442857142857143,1.921857684379981,-0.8736127997698899,2.132418524871355,2.1998964356820316,-0.08514676577890071,78129.97435897436,61906.0,17
NORMAL_NATIVE_REFERENCE,segment,O1,17,6,11,0,35.294117647058826,-108.54,135.60999999999999,-244.15,0.5554372312103214,22.601666666666663,-22.195454545454545,0.9770997388664143,-0.941819759009424,1.0183015905522559,1.0374593753417285,-0.26455405387677516,86962.4705882353,34553.0,9
NORMAL_NATIVE_REFERENCE,segment,V1,12,5,7,0,41.66666666666667,-20.47000000000001,131.01,-151.48000000000002,0.8648666490625824,26.201999999999998,-21.640000000000004,1.1145914525298548,-0.9229739775351475,1.2108133086876152,1.2076087513392655,-0.07398838167472978,81172.0,48600.0,5
NORMAL_NATIVE_REFERENCE,segment,V2,16,4,12,0,25.0,-196.4,33.47,-229.87,0.1456040370644277,8.3675,-19.155833333333334,0.3661490878072678,-0.8212983863745423,0.4368121111932831,0.44581737147148165,-0.5244365178290898,84422.8125,52200.0,6
NORMAL_NATIVE_REFERENCE,dataset,DEVELOPMENT,49,14,35,0,28.57142857142857,-188.44000000000003,534.71,-723.15,0.7394178247943027,38.19357142857143,-20.66142857142857,1.6767539290169169,-0.8866189665269939,1.848544561985757,1.8911775997585392,-0.15422671065730512,79230.0,57600.0,23
NORMAL_NATIVE_REFERENCE,dataset,OUT_OF_SAMPLE,17,6,11,0,35.294117647058826,-108.54,135.60999999999999,-244.15,0.5554372312103214,22.601666666666663,-22.195454545454545,0.9770997388664143,-0.941819759009424,1.0183015905522559,1.0374593753417285,-0.26455405387677516,86962.4705882353,34553.0,9
NORMAL_NATIVE_REFERENCE,dataset,VALIDATION,28,9,19,0,32.142857142857146,-216.87,164.48,-381.35,0.43130982037498355,18.275555555555556,-20.071052631578947,0.7819504015420384,-0.8587578146968705,0.9105429541249654,0.9105598670075055,-0.33138731662007836,83029.60714285714,50400.0,11
ALL_FORMAL_LAYERS,cost_profile,HIGH,188,53,135,0,28.191489361702125,-1220.4850000000001,1583.9650000000006,-2804.4500000000007,0.564804150546453,29.88613207547171,-20.77370370370371,1.303108676832345,-0.8888591341992341,1.4386520815805879,1.4660463359093507,-0.2709107619403315,81760.2074468085,50400.0,86
ALL_FORMAL_LAYERS,cost_profile,NORMAL,188,58,130,0,30.851063829787233,-1034.8300000000002,1661.8899999999999,-2696.7200000000003,0.6162634607968197,28.653275862068963,-20.744000000000003,1.2487647489470153,-0.8876316987226898,1.3812801707514923,1.4068501054480134,-0.22853066699480212,81760.2074468085,50400.0,86
ALL_FORMAL_LAYERS,cost_profile,STRESS,188,50,138,0,26.595744680851062,-1406.14,1513.380000000001,-2919.5200000000013,0.5183660327725107,30.26760000000002,-21.155942028985518,1.3201386747552275,-0.905113150958719,1.4306902504521293,1.4585344090480874,-0.3132908568858609,81760.2074468085,50400.0,86
ALL_FORMAL_LAYERS,execution_layer,FIXED_DELAY_200_MS,282,81,201,0,28.723404255319153,-1841.595,2367.1750000000015,-4208.770000000001,0.5624386697301114,29.2243827160494,-20.939154228855728,1.2744366340708346,-0.8959171337911951,1.3956811434043503,1.4224938735995403,-0.2725176472776333,81760.1914893617,50400.0,129
ALL_FORMAL_LAYERS,execution_layer,NATIVE_NORMAL_EXECUTION,282,80,202,0,28.368794326241137,-1819.8600000000001,2392.06,-4211.92,0.5679262664058197,29.90075,-20.85108910891089,1.3033835211133116,-0.8921503707481154,1.4340138226746946,1.460946006243718,-0.2693038766030297,81760.22340425532,50400.0,129
