schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.04 09:00:00,2025_S4,EXIT_TRANSACTION,NONE,28,SELL,1.1524100000,1.1524100000,0,0.0000,0.07000000,0,0,29,29,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.12 20:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.12 19:00:00,0,BUY,1.1593700000,0.0000000000,12,0.0000,0.12000000,24.60000000,1.1573200000,30,30,10009,NONE,NO,2,2025.11.12 19:00:00,0.001021815324
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.14 13:00:00,2025_S4,EXIT_ATTEMPT,2025.11.14 12:00:00,30,BUY,1.1612700000,0.0000000000,0,0.0000,0.12000000,0,0,31,31,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.14 13:00:00,2025_S4,EXIT_TRANSACTION,NONE,30,BUY,1.1612700000,1.1612700000,0,0.0000,0.12000000,0,0,31,31,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.18 20:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.18 19:00:00,0,SELL,1.1575000000,0.0000000000,12,0.0000,0.11000000,23.43000000,1.1596300000,32,32,10009,NONE,NO,1,2025.11.18 19:00:00,0.001062322316
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.19 08:00:00,2025_S4,EXIT_ATTEMPT,2025.11.19 07:00:00,32,SELL,1.1589600000,0.0000000000,0,0.0000,0.11000000,0,0,33,33,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.19 08:00:00,2025_S4,EXIT_TRANSACTION,NONE,32,SELL,1.1589600000,1.1589600000,0,0.0000,0.11000000,0,0,33,33,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.21 18:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.21 17:00:00,0,SELL,1.1502200000,0.0000000000,12,0.0000,0.08000000,22.72000000,1.1530600000,34,34,10009,NONE,NO,4,2025.11.21 17:00:00,0.001416375641
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.24 08:00:00,2025_S4,EXIT_ATTEMPT,2025.11.24 07:00:00,34,SELL,1.1523000000,0.0000000000,0,0.0000,0.08000000,0,0,35,35,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.24 08:00:00,2025_S4,EXIT_TRANSACTION,NONE,34,SELL,1.1523000000,1.1523000000,0,0.0000,0.08000000,0,0,35,35,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.25 17:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.25 16:00:00,0,BUY,1.1567100000,0.0000000000,13,0.0000,0.10000000,24.80000000,1.1542300000,36,36,10009,NONE,NO,1,2025.11.25 16:00:00,0.001236477370
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.26 16:00:00,2025_S4,EXIT_ATTEMPT,2025.11.26 15:00:00,36,BUY,1.1551600000,0.0000000000,0,0.0000,0.10000000,0,0,37,37,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.26 16:00:00,2025_S4,EXIT_TRANSACTION,NONE,36,BUY,1.1551600000,1.1551600000,0,0.0000,0.10000000,0,0,37,37,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.27 03:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.27 02:00:00,0,BUY,1.1602800000,0.0000000000,12,0.0000,0.10000000,23.50000000,1.1579300000,38,38,10009,NONE,NO,1,2025.11.27 02:00:00,0.001173429721
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.27 11:18:12,2025_S4,EXIT_TRANSACTION,NONE,38,BUY,0.0000000000,1.1579300000,0,0.0000,0.10000000,0,0,39,39,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.11.28 20:00:00,2025_S4,ENTRY_ATTEMPT,2025.11.28 19:00:00,0,BUY,1.1603400000,0.0000000000,12,0.0000,0.09000000,23.04000000,1.1577800000,40,40,10009,NONE,NO,2,2025.11.28 19:00:00,0.001279093637
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.01 22:00:01,2025_S4,EXIT_ATTEMPT,2025.12.01 21:00:00,40,BUY,1.1608000000,0.0000000000,0,0.0000,0.09000000,0,0,41,41,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.01 22:00:01,2025_S4,EXIT_TRANSACTION,NONE,40,BUY,1.1608000000,1.1608000000,0,0.0000,0.09000000,0,0,41,41,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.03 09:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.03 08:00:00,0,BUY,1.1643700000,0.0000000000,12,0.0000,0.16000000,24.64000000,1.1628300000,42,42,10009,NONE,NO,1,2025.12.03 08:00:00,0.000768273116
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.04 06:00:03,2025_S4,EXIT_ATTEMPT,2025.12.04 05:00:00,42,BUY,1.1655200000,0.0000000000,0,0.0000,0.16000000,0,0,43,43,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.04 06:00:03,2025_S4,EXIT_TRANSACTION,NONE,42,BUY,1.1655200000,1.1655200000,0,0.0000,0.16000000,0,0,43,43,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.10 11:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.10 10:00:00,0,BUY,1.1653300000,0.0000000000,12,0.0000,0.14000000,24.08000000,1.1636100000,44,44,10009,NONE,NO,1,2025.12.10 10:00:00,0.000859506275
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.10 11:53:10,2025_S4,EXIT_TRANSACTION,NONE,44,BUY,0.0000000000,1.1636100000,0,0.0000,0.14000000,0,0,45,45,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.10 22:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.10 21:00:00,0,BUY,1.1677800000,0.0000000000,12,0.0000,0.09000000,22.86000000,1.1652400000,46,46,10009,NONE,NO,2,2025.12.10 21:00:00,0.001268613277
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.12 11:00:00,2025_S4,EXIT_ATTEMPT,2025.12.12 10:00:00,46,BUY,1.1727400000,0.0000000000,0,0.0000,0.09000000,0,0,47,47,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.12 11:00:00,2025_S4,EXIT_TRANSACTION,NONE,46,BUY,1.1727400000,1.1727400000,0,0.0000,0.09000000,0,0,47,47,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.15 17:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.15 16:00:00,0,BUY,1.1764300000,0.0000000000,12,0.0000,0.11000000,23.32000000,1.1743100000,48,48,10009,NONE,NO,2,2025.12.15 16:00:00,0.001055622597
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.15 20:16:03,2025_S4,EXIT_TRANSACTION,NONE,48,BUY,0.0000000000,1.1743100000,0,0.0000,0.11000000,0,0,49,49,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.16 16:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.16 15:00:00,0,BUY,1.1776300000,0.0000000000,13,0.0000,0.10000000,24.20000000,1.1752100000,50,50,10009,NONE,NO,1,2025.12.16 15:00:00,0.001205251298
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.16 20:19:24,2025_S4,EXIT_TRANSACTION,NONE,50,BUY,0.0000000000,1.1751900000,0,0.0000,0.10000000,0,0,51,51,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.12.23 09:00:00,2025_S4,ENTRY_ATTEMPT,2025.12.23 08:00:00,0,BUY,1.1771700000,0.0000000000,12,0.0000,0.14000000,25.06000000,1.1753800000,52,52,10009,NONE,NO,5,2025.12.23 08:00:00,0.000890929462
