schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.02.02 10:05:02,1770026702436,TRADE_TRANSACTION,10712.29000000,10710.15000000,-2.14000000,358.17000000,10351.98000000,7
