schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.07.17 23:57:59,2020.07.20 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.07.24 23:57:59,2020.07.27 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.07.31 23:57:59,2020.08.03 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.08.07 23:57:59,2020.08.10 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.08.14 23:57:59,2020.08.17 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.08.21 23:57:59,2020.08.24 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.08.28 23:57:59,2020.08.31 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.09.04 23:57:59,2020.09.07 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.09.11 23:57:59,2020.09.14 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.09.18 23:57:59,2020.09.21 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.09.25 23:57:30,2020.09.28 00:00:30,172980
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.10.02 23:57:59,2020.10.05 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.10.09 23:57:59,2020.10.12 00:00:30,172951
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.10.16 23:57:59,2020.10.19 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.10.23 23:57:59,2020.10.26 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.10.30 23:57:59,2020.11.02 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.11.06 23:57:59,2020.11.09 00:00:00,172921
SOLTRADE_PHASE6_V30_TICK_GAP_V1,AUDUSD,2020.11.13 23:57:59,2020.11.16 00:00:00,172921
