physical_run,run_id,segment,dataset,cost_profile,execution_layer,position_identifier,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,realized_net_R,exit_reason,naturally_closed,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,4,LONG,2025-07-08T11:00:00,2025-07-08T13:29:00,1.17606,1.17314,0.08,23.36,-23.36,0.0,0.48,-23.84,0.88,0.0,0.0,0.0,0.0,1.3599999999999999,0.5,0.6799999999999999,-24.52,-1.0496575342465753,STOP_LOSS_EXIT,True,8940.0,9973.488729508197,-26.17186896912896,9947.316860539067
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,6,SHORT,2025-07-08T18:00:00,2025-07-08T20:54:53,1.1692,1.17239,0.07,22.54,-22.33,0.0,0.42000000000000004,-22.75,0.77,0.0,0.0,0.0,0.0,1.19,0.5,0.595,-23.345,-1.0357142857142858,STOP_LOSS_EXIT,True,10493.0,9947.316860539067,-25.756445442467232,9921.560415096601
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,8,SHORT,2025-07-10T17:00:00,2025-07-15T09:00:00,1.1692,1.16858,0.09,22.5,6.8100000000000005,0.0,0.54,6.2700000000000005,1.08,1.23,0.0,0.0,0.0,2.85,0.5,1.425,4.845000000000001,0.21533333333333335,SHORT_EXIT_BREAKOUT,True,403200.0,9921.560415096601,5.341106690127004,9926.901521786727
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,10,SHORT,2025-07-15T17:00:00,2025-07-16T08:00:00,1.16423,1.16203,0.08,23.52,17.96,0.0,0.48,17.48,0.96,0.36,0.0,0.0,0.0,1.7999999999999998,0.5,0.8999999999999999,16.580000000000002,0.7049319727891158,SHORT_EXIT_BREAKOUT,True,54000.0,9926.901521786727,17.494475683590984,9944.395997470318
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,12,SHORT,2025-07-16T17:00:00,2025-07-16T17:56:23,1.15721,1.16011,0.08,22.88,-23.2,0.0,0.48,-23.68,1.04,0.0,0.0,0.0,0.0,1.52,0.5,0.76,-24.44,-1.0681818181818183,STOP_LOSS_EXIT,True,3383.0,9944.395997470318,-26.5560574932446,9917.839939977073
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,14,LONG,2025-07-21T18:00:00,2025-07-23T09:00:00,1.16971,1.17299,0.08,22.16,24.68,0.0,0.48,24.2,0.96,1.56,0.0,0.0,0.0,3.0,0.5,1.5,22.7,1.0243682310469313,LONG_EXIT_BREAKOUT,True,140400.0,9917.839939977073,25.398800387802297,9943.238740364875
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,16,LONG,2025-07-23T22:00:00,2025-07-24T10:00:00,1.17722,1.17565,0.08,24.64,-14.89,0.0,0.48,-15.370000000000001,0.96,2.33,0.0,0.0,0.0,3.77,0.5,1.885,-17.255000000000003,-0.700284090909091,LONG_EXIT_BREAKOUT,True,43200.0,9943.238740364875,-17.407729754971182,9925.831010609903
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,18,SHORT,2025-07-28T11:00:00,2025-07-30T04:00:00,1.16742,1.15679,0.07,24.15,75.05,0.0,0.42000000000000004,74.63,0.8400000000000001,0.64,0.0,0.0,0.0,1.9000000000000004,0.5,0.9500000000000002,73.67999999999999,3.0509316770186334,SHORT_EXIT_BREAKOUT,True,147600.0,9925.831010609903,75.70758062750907,10001.538591237413
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,20,SHORT,2025-07-30T16:00:00,2025-07-31T10:00:00,1.14722,1.14589,0.06,22.86,8.790000000000001,0.0,0.36,8.430000000000001,0.72,0.81,0.0,0.0,0.0,1.8900000000000001,0.5,0.9450000000000001,7.485000000000001,0.32742782152230976,SHORT_EXIT_BREAKOUT,True,64800.0,10001.538591237413,8.186954982000442,10009.725546219413
29,029-v1-high-delay200,V1,VALIDATION,HIGH,FIXED_DELAY_200_MS,22,SHORT,2025-08-01T13:00:00,2025-08-01T15:30:11,1.14006,1.14367,0.07,22.82,-25.27,0.0,0.42000000000000004,-25.69,0.8400000000000001,0.0,0.0,0.0,0.0,1.2600000000000002,0.5,0.6300000000000001,-26.32,-1.1533742331288344,STOP_LOSS_EXIT,True,9011.0,10009.725546219413,-28.8623988142523,9980.863147405162
