run_number,run_id,segment,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_money,expectancy_R,normalized_expectancy_R,expected_payoff,total_trades,naturally_closed_trades,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,long_net_profit,short_net_profit,stop_loss_exits,donchian_exits,average_holding_seconds,median_holding_seconds,risk_engine_blocks,spread_blocks,loss_limit_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,censored_positions
11,011-v1-high-native,V1,VALIDATION,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9964.354432377742,-35.645567622254404,132.1248043360597,-167.77037195831412,0.7875335960326102,-2.9704639685212006,-0.1171893695216427,-0.1171893695216427,-2.9704639685212006,13,12,5,7,0,41.66666666666667,26.42496086721194,-23.96719599404487,1.1025470344456543,75.70522335676137,-28.861500139537426,82.4688670641408,0.824688670641408,-1.5041400611355837,-0.43223059672361924,2,3,-18.18104715044419,-17.464520471810218,5,7,81172.0,48600.0,0,0,0,,,,,,,1
12,012-v1-stress-native,V1,VALIDATION,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9951.447566809957,-48.55243319004114,125.81589459942484,-174.36832778946598,0.7215524527558478,-4.046036099170095,-0.1603903573685556,-0.1603903573685556,-4.046036099170095,13,12,5,7,0,41.66666666666667,25.163178919884967,-24.909761112780853,1.010173433858187,74.65799085110098,-29.518278833572854,88.33577961501214,0.8833577961501214,-2.0444854346100216,-0.5496349656010727,2,3,-22.48300915411585,-26.06942403592529,5,7,81172.0,48600.0,0,0,0,,,,,,,1
13,013-v2-normal-native,V2,VALIDATION,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9792.098276088918,-207.90172391108268,35.797885186909426,-243.69960909799212,0.14689348628587673,-12.993857744442668,-0.5244365178290898,-0.5244365178290898,-12.993857744442668,16,16,4,12,0,25.0,8.949471296727356,-20.30830075816601,0.4406804588576302,14.570603959800952,-26.443773282725573,231.53868571952262,2.315386857195226,-8.53076585418826,-0.8979135528260151,3,11,-121.68646036420505,-86.21526354687765,8,8,84422.8125,52200.0,5,0,0,,,,,,,0
14,014-v2-high-native,V2,VALIDATION,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9774.720470984345,-225.2795290156597,30.408943913651008,-255.6884729293107,0.11892966298116248,-14.079970563478732,-0.5687940077458193,-0.5687940077458193,-14.079970563478732,16,16,3,13,0,18.75,10.136314637883668,-19.66834407148544,0.5153618729183707,13.56921604612186,-27.59033785150033,244.43120303051728,2.4443120303051726,-9.21773665199872,-0.9216479983839605,1,11,-133.14627196277453,-92.13325705288517,8,8,84422.8125,52200.0,5,0,0,,,,,,,0
15,015-v2-stress-native,V2,VALIDATION,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9757.371426349982,-242.62857365001753,26.298695538356398,-268.92726918837394,0.09779110767653354,-15.164285853126096,-0.613151497662549,-0.613151497662549,-15.164285853126096,16,16,3,13,0,18.75,8.7662318461188,-20.6867130144903,0.42376146659831204,12.571139160520213,-28.735297499765917,257.30806346190184,2.5730806346190183,-9.899629520780529,-0.942949748195288,1,11,-144.5888893799432,-98.03968427007433,8,8,84422.8125,52200.0,5,0,0,,,,,,,0
16,016-o1-normal-native,O1,OUT_OF_SAMPLE,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9887.645117877611,-112.35488212238971,145.07840044184738,-257.4332825642371,0.563557279761004,-6.609110713081748,-0.26455405387677516,-0.26455405387677516,-6.609110713081748,17,17,6,11,0,35.294117647058826,24.179733406974563,-23.40302568765792,1.0331883462285074,43.830509024475276,-26.777605443742907,130.85017188372512,1.3085017188372512,-4.682371255230544,-0.8586529196326121,2,3,-61.741684416533495,-50.61319770585622,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
17,017-o1-high-native,O1,OUT_OF_SAMPLE,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9867.241540155836,-132.7584598441619,134.69721628510703,-267.4556761292689,0.50362444437337,-7.809321167303641,-0.31316725855172634,-0.31316725855172634,-7.809321167303641,17,17,6,11,0,35.294117647058826,22.44953604751784,-24.314152375388083,0.9233114813511781,41.00297707588251,-28.078271735815235,147.6488665912584,1.476488665912584,-5.514378704984868,-0.8991498743548222,2,3,-70.536494234578,-62.22196560958389,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
18,018-o1-stress-native,O1,OUT_OF_SAMPLE,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9846.877123501437,-153.12287649856157,124.84354253605969,-277.96641903462125,0.44913174393382455,-9.007228029327152,-0.36178046322667745,-0.36178046322667745,-9.007228029327152,17,17,5,12,0,29.411764705882355,24.968708507211936,-23.163868252885106,1.0779161854411787,38.184935673838716,-29.375806203997655,164.42107601179669,1.644210760117967,-6.339242528273925,-0.9312849679172243,1,3,-79.30817559659242,-73.81470090196915,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
19,019-d1-normal-delay200,D1,DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9904.940531890348,-95.05946810964983,17.489608748510015,-112.54907685815984,0.15539539938254068,-15.843244684941638,-0.6357499923779031,-0.6357499923779031,-15.843244684941638,6,6,1,5,0,16.666666666666664,17.489608748510015,-22.50981537163197,0.7769769969127034,17.489608748510015,-25.956284153005466,95.05946810965179,0.9505946810965178,-2.0298605779000223,-0.9999999999999793,1,3,-58.67816133721249,-36.381306772437334,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
20,020-d1-high-delay200,D1,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9900.455795004418,-99.54420499558248,16.098161843952006,-115.64236683953449,0.13920643691329698,-16.59070083259708,-0.6659075252200496,-0.6659075252200496,-16.59070083259708,6,6,1,5,0,16.666666666666664,16.098161843952006,-23.1284733679069,0.696032184566485,16.098161843952006,-26.571038251366346,99.54420499558182,0.9954420499558182,-2.1250765871293487,-1.0000000000000067,1,3,-61.970746324674764,-37.57345867090771,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
