schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.03.30 10:05:00,JPY,USDJPY,-1,3,-0.007403096409,NONE,NONE,2026.03.30 09:00:00,159.7980000000,2026.03.09 09:00:00,158.6150000000,2026.04.06 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,EUR,EURUSD,1,1,0.008853041265,LONG,BUY,2026.04.06 09:00:00,1.1532300000,2026.03.16 09:00:00,1.1431100000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,GBP,GBPUSD,1,3,-0.002369882864,NONE,NONE,2026.04.06 09:00:00,1.3218200000,2026.03.16 09:00:00,1.3249600000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,AUD,AUDUSD,1,5,-0.014920268479,NONE,NONE,2026.04.06 09:00:00,0.6912600000,2026.03.16 09:00:00,0.7017300000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,NZD,NZDUSD,1,7,-0.017033515897,SHORT,SELL,2026.04.06 09:00:00,0.5707300000,2026.03.16 09:00:00,0.5806200000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,CAD,USDCAD,-1,6,-0.015550994632,SHORT,BUY,2026.04.06 09:00:00,1.3934800000,2026.03.16 09:00:00,1.3718100000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,CHF,USDCHF,-1,4,-0.010918095524,NONE,NONE,2026.04.06 09:00:00,0.7995900000,2026.03.16 09:00:00,0.7908600000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.06 10:05:00,JPY,USDJPY,-1,2,-0.001998696775,LONG,SELL,2026.04.06 09:00:00,159.6040000000,2026.03.16 09:00:00,159.2850000000,2026.04.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,EUR,EURUSD,1,1,0.013443191674,LONG,BUY,2026.04.13 09:00:00,1.1685000000,2026.03.23 09:00:00,1.1530000000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,GBP,GBPUSD,1,3,0.009142624949,NONE,NONE,2026.04.13 09:00:00,1.3410900000,2026.03.23 09:00:00,1.3289400000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,AUD,AUDUSD,1,2,0.012709549415,LONG,BUY,2026.04.13 09:00:00,0.7043800000,2026.03.23 09:00:00,0.6955400000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,NZD,NZDUSD,1,4,0.005884789287,NONE,NONE,2026.04.13 09:00:00,0.5828700000,2026.03.23 09:00:00,0.5794600000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,CAD,USDCAD,-1,7,-0.008878302295,SHORT,BUY,2026.04.13 09:00:00,1.3854000000,2026.03.23 09:00:00,1.3731000000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,CHF,USDCHF,-1,6,-0.001517105363,SHORT,BUY,2026.04.13 09:00:00,0.7909800000,2026.03.23 09:00:00,0.7897800000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.13 10:05:00,JPY,USDJPY,-1,5,-0.001277635122,NONE,NONE,2026.04.13 09:00:00,159.6700000000,2026.03.23 09:00:00,159.4660000000,2026.04.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,EUR,EURUSD,1,3,0.021907384404,NONE,NONE,2026.04.20 09:00:00,1.1764300000,2026.03.30 09:00:00,1.1512100000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,GBP,GBPUSD,1,5,0.018077102839,NONE,NONE,2026.04.20 09:00:00,1.3505200000,2026.03.30 09:00:00,1.3265400000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,AUD,AUDUSD,1,1,0.042863597277,LONG,BUY,2026.04.20 09:00:00,0.7155400000,2026.03.30 09:00:00,0.6861300000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,NZD,NZDUSD,1,2,0.023364811653,LONG,BUY,2026.04.20 09:00:00,0.5873500000,2026.03.30 09:00:00,0.5739400000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,CAD,USDCAD,-1,6,0.014245347080,SHORT,BUY,2026.04.20 09:00:00,1.3695700000,2026.03.30 09:00:00,1.3890800000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,CHF,USDCHF,-1,4,0.021253196931,NONE,NONE,2026.04.20 09:00:00,0.7820000000,2026.03.30 09:00:00,0.7986200000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.20 10:05:00,JPY,USDJPY,-1,7,0.005879242623,SHORT,BUY,2026.04.20 09:00:00,158.8640000000,2026.03.30 09:00:00,159.7980000000,2026.04.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,EUR,EURUSD,1,6,0.017056441473,SHORT,SELL,2026.04.27 09:00:00,1.1729000000,2026.04.06 09:00:00,1.1532300000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,GBP,GBPUSD,1,3,0.023951824000,NONE,NONE,2026.04.27 09:00:00,1.3534800000,2026.04.06 09:00:00,1.3218200000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,AUD,AUDUSD,1,1,0.036397303475,LONG,BUY,2026.04.27 09:00:00,0.7164200000,2026.04.06 09:00:00,0.6912600000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,NZD,NZDUSD,1,2,0.031415905945,LONG,BUY,2026.04.27 09:00:00,0.5886600000,2026.04.06 09:00:00,0.5707300000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,CAD,USDCAD,-1,4,0.020445824424,NONE,NONE,2026.04.27 09:00:00,1.3655600000,2026.04.06 09:00:00,1.3934800000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,CHF,USDCHF,-1,5,0.018676824685,NONE,NONE,2026.04.27 09:00:00,0.7849300000,2026.04.06 09:00:00,0.7995900000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.04.27 10:05:00,JPY,USDJPY,-1,7,0.002185160999,SHORT,BUY,2026.04.27 09:00:00,159.2560000000,2026.04.06 09:00:00,159.6040000000,2026.05.04 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,EUR,EURUSD,1,7,0.003662815576,SHORT,SELL,2026.05.04 09:00:00,1.1727800000,2026.04.13 09:00:00,1.1685000000,2026.05.11 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.04 10:05:00,GBP,GBPUSD,1,5,0.012586776428,NONE,NONE,2026.05.04 09:00:00,1.3579700000,2026.04.13 09:00:00,1.3410900000,2026.05.11 10:05:00
