schema,server_hour,opening_time_msc,closing_time_msc,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_time_msc,profit_at_minimum,opening_positions,closing_positions,maximum_positions
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 15:00:00,1773241200403,1773244799994,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773241200403,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 16:00:00,1773244800400,1773248399721,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773244800400,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 17:00:00,1773248400126,1773251999019,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773248400126,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 18:00:00,1773252000235,1773255599566,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773252000235,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 19:00:00,1773255600375,1773259199504,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773255600375,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 20:00:00,1773259200114,1773262795163,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773259200114,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 21:00:00,1773262800223,1773266397070,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773262800223,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 22:00:00,1773266400210,1773269999727,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773266400210,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.11 23:00:00,1773270000132,1773273599603,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773270000132,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 00:00:00,1773273600011,1773277199046,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773273600011,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 01:00:00,1773277200159,1773280799889,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773277200159,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 02:00:00,1773280800295,1773284399747,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773280800295,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 03:00:00,1773284400152,1773287999926,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773284400152,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 04:00:00,1773288000331,1773291594802,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773288000331,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 05:00:00,1773291600166,1773295199102,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773291600166,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 06:00:00,1773295200216,1773298796703,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773295200216,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 07:00:00,1773298800243,1773302380743,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773298800243,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 08:00:00,1773302400183,1773305995964,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773302400183,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 09:00:00,1773306000220,1773309599651,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773306000220,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 10:00:00,1773309600054,1773313198885,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773309600054,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 11:00:00,1773313200097,1773316799986,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773313200097,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 12:00:00,1773316800391,1773320399952,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773316800391,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 13:00:00,1773320400355,1773323999860,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773320400355,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 14:00:00,1773324000265,1773327598091,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773324000265,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 15:00:00,1773327600017,1773331199517,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773327600017,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 16:00:00,1773331200327,1773334799821,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773331200327,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 17:00:00,1773334800227,1773338399462,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773334800227,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 18:00:00,1773338400274,1773341999809,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773338400274,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 19:00:00,1773342000214,1773345598640,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773342000214,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 20:00:00,1773345600358,1773349197830,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773345600358,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 21:00:00,1773349200158,1773352799311,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773349200158,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 22:00:00,1773352800325,1773356399909,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773352800325,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.12 23:00:00,1773356400215,1773359999943,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773356400215,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 00:00:00,1773360000352,1773363599123,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773360000352,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 01:00:00,1773363600135,1773367199732,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773363600135,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 02:00:00,1773367200136,1773370799949,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773367200136,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.13 03:00:00,1773370800354,1773374399686,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773370800354,0.00000000,0,0,0
